id,age,gender,annual_income,loan_amount,loan_term,employment_type,purpose,num_dependents,bureau_score,num_of_accounts,num_of_open_accounts,total_debt,delinquencies,num_loans,num_defaults,total_loan_amount,total_repaid_amount,avg_dpd,months_on_book,status,dpd,payment_amount,num_cards,credit_limit,utilization_ratio,max_utilization_ratio,late_payments,default_12m
17,63,Male,1243349,698950,48,Salaried,Business,2,516,7,6,56032,3,0,2,490232,681514,89,27,Paid,71,51104,3,419009,0.4185579068460365,0.4539174514882758,0,0
18,55,Female,905849,923040,12,Self-employed,Business,1,500,2,1,333739,0,6,0,398636,1302862,81,39,Paid,62,25648,3,189862,0.3507846358456473,0.866115261752748,3,0
19,25,Male,480497,196635,12,Salaried,Education,5,441,5,5,191625,3,2,2,1168926,145258,3,5,Late,29,84188,2,334016,0.7689003485559106,0.6243008909273497,3,0
20,32,Female,614597,959892,60,Self-employed,Home,5,783,7,7,903028,5,3,2,417620,633983,9,43,Paid,56,65948,1,429167,0.7492227766421317,0.2909750977967309,17,0
21,30,Male,625268,127216,36,Salaried,Business,3,826,9,5,138541,3,7,1,447971,1076278,0,18,Paid,7,7319,3,50318,0.0844046720135914,0.1390264575654756,13,0
22,50,Female,1469593,622318,36,Self-employed,Home,0,535,1,5,532864,3,1,2,1890930,1446270,80,26,Paid,14,20907,3,197290,0.5908438462543716,0.2187714465165976,0,0
23,28,Female,1558093,223175,24,Salaried,Car,5,467,5,3,393257,7,7,0,1743124,1368279,64,53,Late,89,92376,4,423663,0.2833466327769308,0.3129524287735064,8,0
24,41,Female,1396797,485399,48,Salaried,Business,1,572,3,4,408027,7,1,0,650606,171809,24,21,Paid,15,31400,3,497294,0.2552515413825704,0.1207058863383828,3,0
25,49,Male,559947,157414,48,Self-employed,Car,0,538,4,2,687043,5,1,2,359693,794133,78,17,Paid,11,46322,4,346747,0.0598133172837963,0.837032961028483,10,0
26,36,Female,1663039,275861,60,Salaried,Car,0,439,9,2,492392,7,0,1,543410,283739,10,52,Late,38,89516,4,325994,0.5145684460966063,0.4809612388636598,3,0
27,55,Male,643722,860181,60,Salaried,Business,3,461,7,5,673151,5,7,0,1400319,1324923,41,42,Late,66,23523,2,287996,0.312224237693783,0.1459084710766119,13,0
28,22,Male,1949102,305848,24,Salaried,Car,5,455,5,3,178186,4,5,2,1616966,191413,88,45,Late,73,40721,1,70152,0.6092425885910034,0.0803463568945391,12,0
29,38,Male,1049913,109186,24,Self-employed,Education,0,552,2,2,329561,0,2,0,892788,1311942,35,51,Late,55,35210,2,231696,0.9056267133912804,0.6817195246027874,0,0
30,48,Male,577009,299976,12,Self-employed,Business,4,492,1,2,681439,1,7,2,1692085,34401,24,48,Paid,46,33821,2,244200,0.0977302312081748,0.8102773110675934,14,0
31,42,Male,1713769,655646,48,Salaried,Education,1,552,7,1,216756,7,2,0,1683311,438367,45,37,Late,64,77728,4,59831,0.7321037666812599,0.7303674043888059,12,0
32,55,Male,1244919,412563,12,Self-employed,Education,5,892,6,4,325119,3,3,2,923960,723085,44,51,Late,68,18863,4,233306,0.4980340439377405,0.8777245517634741,11,0
33,34,Male,1073653,924234,60,Salaried,Car,4,673,2,2,117710,1,0,2,868484,745381,68,12,Paid,15,15798,2,158246,0.5600169792569665,0.318413306115797,10,0
34,22,Female,1914624,53900,48,Self-employed,Home,5,564,5,5,404085,5,5,2,1524438,1765329,41,44,Paid,14,26923,2,440899,0.5476178973878365,0.6143483829994414,5,0
35,44,Male,255653,884862,24,Salaried,Education,4,835,7,3,375065,7,2,1,1086722,1212355,66,31,Paid,51,74013,4,325958,0.7313099548000975,0.0594479735196229,10,0
36,62,Female,307965,260769,24,Salaried,Business,4,345,2,1,20913,2,7,1,1915513,1311268,6,42,Paid,54,25861,1,460009,0.9118233996219482,0.8549941215404894,6,0
37,38,Female,559589,262088,24,Salaried,Home,0,732,1,3,313495,1,9,2,648042,1698755,4,53,Paid,49,38419,1,445639,0.5780882089876778,0.5861533898962876,15,0
38,55,Male,1885665,391180,48,Salaried,Car,3,349,7,2,752568,5,7,0,810014,138409,84,36,Late,77,45106,1,284285,0.4716966787534027,0.1421312424278576,16,0
39,43,Male,1807578,855082,48,Salaried,Car,0,806,4,5,173474,4,8,2,1349079,1659575,68,35,Paid,60,32992,4,344630,0.7952194550323854,0.7188940520000048,15,0
40,30,Male,1105130,420697,36,Salaried,Home,2,711,4,4,98413,7,5,2,1571020,290645,36,48,Late,26,55745,1,181733,0.6397001845287098,0.9445395153757932,4,0
41,26,Female,312012,138528,24,Salaried,Business,2,830,5,7,725331,0,4,0,78859,30295,71,10,Late,47,40886,1,183471,0.3311514633321875,0.5618078109944046,18,0
42,41,Female,1398601,591159,36,Salaried,Education,2,651,3,5,84322,6,1,1,719493,1392285,15,44,Late,17,21402,4,285216,0.5916222508875708,0.0498668813568639,13,1
43,48,Male,1681744,173961,36,Salaried,Home,0,358,2,6,560805,2,7,0,1369314,33904,79,22,Late,10,92148,1,78295,0.2002861854520038,0.8848266932572089,2,0
44,60,Female,1154396,367533,48,Self-employed,Car,1,311,1,3,171412,6,7,1,1080219,1388606,1,35,Late,74,94836,2,320446,0.3733513855081009,0.1806291276126224,17,0
45,44,Female,667672,52957,48,Salaried,Home,2,345,8,3,151411,6,9,2,787889,381841,48,36,Late,71,84392,3,246787,0.133960133189802,0.2050618566925257,4,1
46,59,Female,541349,831533,60,Self-employed,Education,3,728,6,4,500256,5,7,2,380669,1200382,86,42,Late,2,6371,3,102753,0.1791175712940159,0.514636356949005,16,0
47,51,Female,1121683,317989,60,Salaried,Business,2,779,4,4,403323,4,5,1,683160,229769,29,8,Paid,79,16480,1,437640,0.4110227184373274,0.0399469962511496,5,1
48,63,Male,332503,155912,36,Self-employed,Business,4,469,8,2,318034,1,0,0,927616,759732,2,57,Late,14,4429,3,65134,0.1551115774220326,0.2986516588875115,10,0
49,27,Male,1776451,643403,60,Salaried,Car,1,890,2,5,404607,3,6,1,681969,1079319,38,22,Paid,40,88283,4,195165,0.0924251707179215,0.8022812041968375,11,0
50,46,Female,897479,267727,12,Salaried,Education,3,546,9,2,169406,2,2,0,747257,1701250,74,11,Late,23,73813,1,139407,0.0233607751363895,0.1772951738672686,16,0
51,49,Female,1897402,462654,48,Self-employed,Home,1,567,3,6,984690,8,1,2,1115909,378356,63,44,Late,11,28243,3,224058,0.0191890165065105,0.0609996044202035,12,0
52,27,Male,429523,792126,60,Self-employed,Car,1,591,1,3,691327,7,0,1,1702181,735207,1,32,Paid,84,59536,2,130750,0.8264745579853578,0.841285502058018,6,0
53,38,Female,379317,435816,24,Salaried,Car,4,517,4,7,165110,1,5,1,1115996,659224,64,47,Late,36,70839,1,53278,0.4729849905077631,0.8733314887986755,11,0
54,48,Male,1339423,310294,24,Self-employed,Education,5,353,7,2,964860,9,3,1,663677,1435408,42,51,Late,58,38363,3,418611,0.2788658875958931,0.2976965672880756,3,1
55,42,Male,1309925,761435,24,Salaried,Home,1,380,4,3,472455,8,0,2,1553428,1493271,10,41,Late,64,65461,4,343902,0.6912286639895786,0.8395430255538308,9,0
56,46,Male,957998,758400,24,Self-employed,Business,5,851,3,1,686739,4,9,2,1403332,1321430,3,56,Paid,88,44224,4,211477,0.7249967426418612,0.2035552799028869,2,0
57,28,Female,223186,553042,24,Salaried,Education,4,881,1,2,660167,3,6,0,830518,1204774,11,29,Late,71,30748,2,168952,0.2293600978639337,0.1584055708229286,7,0
58,62,Female,882367,584637,36,Self-employed,Home,5,540,3,4,617042,9,8,0,763168,989681,31,28,Paid,41,57485,1,240909,0.2232801748802731,0.1310935875802359,19,0
59,30,Female,678031,316081,36,Salaried,Home,3,556,1,7,974619,8,9,1,264111,891894,50,45,Paid,5,40377,2,454156,0.7400929344108996,0.3064259575922757,1,0
60,50,Male,683321,972335,60,Salaried,Car,1,762,9,3,784997,6,2,2,1425533,1745386,27,41,Late,53,89035,1,96586,0.0366459092327139,0.1283491503384465,5,0
61,60,Female,313932,768372,48,Self-employed,Home,3,714,5,5,216374,0,8,0,1653794,29475,44,9,Late,4,65887,2,313812,0.8025266726298018,0.7081260275732548,4,0
62,58,Male,685101,348425,60,Salaried,Home,2,411,3,5,474078,7,8,0,1601007,263242,57,58,Late,61,2298,2,56392,0.8013574004085298,0.3712313376630516,11,0
63,38,Female,1621126,355721,12,Salaried,Home,4,782,8,4,637310,3,4,2,315893,459716,65,32,Late,19,57091,3,440291,0.0696640519321665,0.8835695860693211,10,0
64,60,Female,409431,348054,48,Self-employed,Education,4,542,1,6,147807,5,1,1,1539722,1444454,19,15,Paid,77,79509,4,173613,0.2765438769441737,0.3206835431888287,10,0
65,23,Male,695819,159291,24,Self-employed,Business,1,343,1,1,993470,4,1,1,1535807,1672172,17,52,Paid,14,28681,4,474370,0.4347161440679438,0.1327991757681029,8,1
66,34,Female,1482897,83029,48,Salaried,Education,0,416,5,1,536140,5,0,2,1680762,1615198,22,22,Late,7,84873,3,444450,0.1899193131757475,0.8411823291616037,12,0
67,46,Male,1432078,929601,12,Self-employed,Car,0,357,6,2,222650,3,3,1,1454529,1592334,39,38,Late,75,19257,3,438958,0.1968890850205767,0.1863058469161999,4,0
68,37,Female,1783284,525217,12,Salaried,Business,2,662,6,4,727910,9,8,1,823466,1595132,17,12,Paid,17,94967,3,468804,0.4083825200872383,0.0828918041548574,17,1
69,64,Female,1766751,697683,12,Self-employed,Home,1,546,8,5,90943,3,4,1,1689184,590029,28,11,Paid,89,93227,3,128821,0.4624553115152566,0.1831191935396643,18,0
70,38,Male,1313597,922442,12,Salaried,Education,3,368,8,4,416409,9,2,1,630575,1691224,27,51,Late,14,25970,4,162273,0.4574365006367219,0.828127645176683,7,0
71,31,Female,1104420,607677,36,Salaried,Car,0,698,8,6,632113,6,6,2,1991819,96947,66,38,Paid,76,92588,3,184134,0.9792745120942457,0.7549002400762616,7,0
72,62,Male,1027699,114709,60,Salaried,Education,4,820,6,1,188386,2,2,2,1943580,1042610,41,10,Late,69,71883,2,317981,0.408685150091204,0.4559523893957798,17,0
73,22,Female,982994,402534,12,Salaried,Business,0,434,4,7,616916,6,0,0,1196442,1769453,52,49,Late,41,60785,4,356688,0.1219425584843351,0.7424438123431037,14,0
74,36,Male,994260,106425,48,Salaried,Home,5,552,2,4,476527,4,9,0,1658439,1391121,15,42,Late,9,42706,2,470839,0.6030494182508583,0.022718096682635,9,1
75,22,Female,771802,879592,48,Salaried,Home,3,791,1,2,392578,8,1,1,1761650,231472,55,36,Paid,86,52077,2,196012,0.3583923748014188,0.8872485410309114,7,0
76,61,Female,1113589,786764,36,Salaried,Home,5,462,6,7,627355,1,4,0,900602,439409,49,59,Paid,59,72353,2,367828,0.5295096468104388,0.228594875862372,9,0
77,21,Male,362145,192309,12,Salaried,Education,4,415,9,7,568558,2,3,0,1563296,1008800,66,1,Late,74,49490,2,321758,0.7741590678616266,0.465702220858353,11,0
78,32,Male,911092,693532,48,Self-employed,Business,4,735,2,7,387718,5,3,0,232060,374598,1,50,Late,59,94288,1,374898,0.1733804625331827,0.3886757988974294,14,0
79,44,Female,221886,801908,36,Self-employed,Car,2,405,1,4,977397,1,3,1,718984,258867,73,11,Late,41,17525,4,60452,0.4965537484307554,0.7130810162339419,10,1
80,44,Male,455869,370048,60,Salaried,Business,3,312,3,6,702937,6,2,0,1241491,276639,18,43,Late,85,57299,3,262945,0.2212467622621498,0.2917733955706756,5,0
81,39,Male,950825,701974,60,Salaried,Education,4,777,7,4,797768,4,7,2,568982,1155137,76,10,Late,5,96446,4,415928,0.4929484916932813,0.958243563088063,15,0
82,40,Male,1206195,828813,12,Salaried,Education,1,395,3,2,633942,5,5,1,604409,632097,4,43,Paid,13,76287,1,487228,0.7920195741374227,0.5832577586426386,15,0
83,33,Female,1291746,585257,24,Salaried,Education,5,831,2,2,311524,2,5,0,207832,1153981,23,38,Late,13,25969,1,68585,0.1764799376174468,0.8689980990675179,2,0
84,52,Male,604475,679398,48,Self-employed,Home,1,374,4,4,256846,4,8,2,149040,1542571,10,36,Paid,85,92476,4,115714,0.5304896660318831,0.4616272906561875,14,1
85,40,Male,771073,424576,48,Self-employed,Car,3,568,3,5,415131,6,6,1,542275,523993,20,39,Paid,30,3862,2,358835,0.555946023792098,0.1855651835624382,6,0
86,25,Female,1508705,242917,24,Salaried,Home,2,562,7,7,571618,4,0,2,1893957,1254654,28,45,Paid,51,30389,2,413782,0.2458185425060568,0.5468420620602358,16,0
87,25,Female,758422,446858,60,Self-employed,Car,3,604,1,3,651081,3,8,1,1358197,945014,23,19,Late,54,64552,3,91575,0.9010902505119076,0.0335353349778646,6,0
88,50,Female,709739,932066,60,Salaried,Education,2,561,5,2,117223,6,8,2,1663008,1267662,85,34,Late,54,97397,3,237274,0.510697004589158,0.4096304461252408,13,0
89,59,Female,1039717,586356,24,Self-employed,Business,2,494,6,1,268063,7,1,1,943970,1737734,15,41,Paid,81,46624,2,175231,0.1545391469985844,0.2798195640229232,9,0
90,58,Female,735400,765380,36,Salaried,Education,2,621,2,5,943666,8,3,1,1555546,734877,70,53,Late,33,38865,3,481999,0.8871515779776022,0.5688216239286116,5,1
91,59,Female,1111851,803911,24,Salaried,Business,0,584,2,4,161518,2,3,1,297172,963645,70,36,Late,26,5137,4,90376,0.4352634481702195,0.1816819425426948,15,0
92,28,Female,583506,213228,36,Self-employed,Home,0,388,5,1,44527,3,7,0,1882164,362468,28,4,Late,60,84034,2,126424,0.9456510043758036,0.1922473159068983,14,0
93,36,Female,1708520,342304,24,Salaried,Business,1,631,4,2,91112,4,7,0,1653448,1211434,36,50,Paid,75,13733,1,170532,0.0522682288201106,0.7562281662747617,10,0
94,63,Female,515808,184747,48,Self-employed,Home,0,588,2,4,597861,7,4,0,1171581,257585,63,5,Late,77,32730,4,345404,0.3077595742636312,0.0274985519347163,3,0
95,28,Male,1607834,469742,60,Salaried,Business,1,623,4,2,717080,7,3,2,1426761,1388797,19,5,Paid,58,1667,2,189116,0.4005186753392009,0.4336992669412909,13,1
96,45,Female,281466,165745,60,Salaried,Car,5,485,3,7,412317,5,5,0,719393,210414,27,27,Paid,7,40594,3,170133,0.2143653874159344,0.6219200790387889,0,0
97,31,Male,885956,947914,24,Self-employed,Home,4,747,6,1,396114,9,4,2,427384,1396300,87,21,Paid,56,73366,2,211558,0.6295019138340886,0.2422287463537457,4,0
98,62,Female,1243030,564209,36,Salaried,Education,2,419,7,2,23604,9,6,1,1762274,1231611,0,29,Late,57,60122,4,413563,0.9024334457115604,0.603660593417501,10,0
99,31,Female,256668,573561,12,Self-employed,Business,5,630,1,4,813522,5,8,2,1135081,1619147,50,8,Late,40,2502,1,316953,0.8203060576025394,0.58187487015306,13,0
100,31,Female,634087,60567,24,Self-employed,Home,5,626,3,6,218535,4,0,1,265081,764150,25,3,Late,9,59686,2,416330,0.7547729952187964,0.6225903671463501,2,0
101,64,Female,1884485,325731,12,Self-employed,Car,1,795,2,3,900322,3,2,0,647060,1640270,87,59,Paid,6,96474,2,418798,0.1023324939234767,0.5428049344630921,7,0
102,38,Male,1783816,815325,60,Self-employed,Business,0,627,1,3,269002,7,0,2,655674,1293322,10,41,Late,11,61541,4,82252,0.4461057442356096,0.6988320871498774,7,0
103,37,Male,1271162,106225,48,Self-employed,Education,2,545,1,1,500703,2,9,2,878575,231693,19,40,Late,10,24124,4,141359,0.0166635120573581,0.4387686838721798,2,0
104,52,Female,690556,976157,12,Salaried,Education,4,573,1,1,849116,6,0,0,826177,1626327,86,34,Paid,51,23770,3,204903,0.1919102545826644,0.5940939746607048,12,0
105,52,Male,1492716,690666,24,Salaried,Business,0,327,7,3,233554,1,9,1,1076190,206304,32,38,Late,64,92281,2,374346,0.5123739634081973,0.2724846125498957,6,0
106,45,Female,542596,479225,12,Self-employed,Car,0,525,8,4,48858,2,0,0,475249,1570123,86,42,Paid,17,7393,4,337464,0.0839926348658582,0.3245623360420061,8,0
107,31,Male,807743,550451,60,Salaried,Home,0,876,8,1,243437,9,9,0,529002,1667923,44,52,Late,16,59944,3,406547,0.9729294335478118,0.8410269944178235,0,0
108,54,Female,528642,220619,24,Self-employed,Education,5,870,4,7,778928,0,2,2,128323,1555196,51,41,Paid,88,78022,3,446452,0.4808555015717549,0.215526084159222,19,0
109,29,Male,1741935,464789,24,Self-employed,Car,0,426,4,4,568449,1,2,1,897398,747236,39,47,Late,38,75894,2,155695,0.8006306010677289,0.9114774845855946,17,0
110,34,Male,358587,607459,48,Salaried,Business,2,884,4,2,641497,4,0,1,1979095,1336048,23,14,Paid,8,90198,2,335243,0.6495542379581734,0.9695258268111616,11,0
111,63,Female,1116892,497317,24,Self-employed,Car,3,885,3,5,633108,5,9,2,550903,1280224,17,2,Late,10,84020,2,420492,0.6521195677945644,0.3501104294727473,19,1
112,44,Male,1773119,71829,12,Self-employed,Home,1,355,4,6,791702,2,6,0,990676,1586166,70,30,Late,11,51784,1,100930,0.5480384846764993,0.6201104740649996,18,0
113,33,Female,529138,515401,12,Self-employed,Business,0,799,5,5,810816,7,8,1,669557,1039038,48,48,Late,45,80935,4,115269,0.9795229088544304,0.256648202456012,1,1
114,64,Male,1399438,914952,48,Salaried,Car,3,733,2,5,894280,0,8,0,394813,263508,12,51,Late,12,90469,2,232842,0.9714282041705494,0.5834328341748601,7,0
115,42,Male,1866138,64534,12,Self-employed,Education,0,383,9,2,141377,4,3,0,1386367,516771,84,54,Paid,58,59962,2,212079,0.8141803956755477,0.647509769562432,6,0
116,48,Female,205898,421287,60,Self-employed,Home,4,704,6,3,988749,4,2,2,1411512,1424978,1,35,Paid,57,73993,1,235388,0.0023022271719735,0.3742306533218087,8,0
117,29,Female,1155134,569891,36,Salaried,Home,2,638,4,7,537093,2,3,2,1740380,47744,87,43,Late,82,63484,3,243285,0.1909328834839313,0.6989629924978459,8,0
118,35,Male,1979953,969125,12,Self-employed,Business,5,865,2,2,371570,5,6,2,1100758,1597066,86,30,Late,77,41249,4,331569,0.0408723724887815,0.1016112661224734,12,0
119,29,Male,585669,912475,12,Self-employed,Business,3,566,6,5,282382,8,8,1,1811288,682014,75,16,Late,37,47047,2,140138,0.7289186120495125,0.1293727127953107,15,0
120,48,Female,1916815,566064,12,Salaried,Car,3,643,7,3,756163,9,2,2,1466311,1508613,30,34,Paid,75,54609,4,312466,0.2826630842507525,0.4483015435942401,10,0
121,25,Female,1878767,556761,60,Salaried,Business,3,882,8,1,723082,7,3,1,557904,432559,54,52,Late,22,11002,3,147461,0.6149821291440982,0.7016443100337264,1,0
122,33,Male,686840,150757,24,Salaried,Home,0,328,6,6,530931,3,0,1,1867002,1146582,7,17,Paid,27,47259,3,313382,0.4726332342624614,0.917960791800293,8,1
123,57,Female,1547816,582103,60,Salaried,Car,0,431,1,1,632248,3,6,0,533691,1749748,27,12,Late,15,28543,4,388874,0.8512450866960651,0.1251600426481245,8,0
124,38,Male,341350,536175,36,Salaried,Education,1,346,5,4,197538,8,5,2,1050422,695000,59,51,Paid,40,31128,2,379844,0.7983091136016315,0.7569357830102688,5,1
125,44,Male,837851,390107,36,Salaried,Business,3,449,3,6,608809,0,5,1,848712,1053325,57,16,Late,71,21525,3,486101,0.9043101870443796,0.982686297438896,5,0
126,60,Male,1216116,169789,12,Self-employed,Car,5,396,8,6,922336,1,6,2,1756769,742684,37,36,Paid,4,13064,3,158452,0.5891286028040603,0.6959507756599832,15,0
127,26,Female,1953525,528940,36,Self-employed,Education,2,334,6,6,89105,6,6,0,279829,1467224,1,50,Late,59,32409,4,362621,0.1412480785642146,0.4560557460318759,11,0
128,56,Male,592543,930181,12,Self-employed,Business,3,435,7,3,376498,3,1,0,949628,531724,7,38,Late,72,7866,3,424231,0.1401378015318489,0.323754110105093,1,0
129,57,Male,1944307,428531,24,Self-employed,Home,4,689,1,1,212659,5,0,0,1066598,1549967,1,8,Paid,17,25240,3,129806,0.7957236565822116,0.1891345319029902,18,0
130,48,Male,1077947,238198,36,Self-employed,Car,1,840,9,6,579659,1,0,2,1835235,1665381,36,31,Late,69,42180,3,237414,0.8648788258546094,0.2817749161502327,14,0
131,29,Female,1400645,155414,60,Self-employed,Car,2,379,1,4,790597,0,9,0,1239392,524359,88,8,Paid,42,2019,3,254197,0.3672937124221418,0.465486134224654,19,0
132,48,Male,236984,980802,24,Salaried,Home,1,748,1,3,586374,0,0,0,540776,1090281,50,12,Late,70,7407,1,228566,0.8162906451356434,0.6946345366085241,1,0
133,62,Male,1724728,506538,48,Salaried,Education,1,444,7,2,149509,3,2,0,1860904,96820,78,31,Late,51,19065,3,297697,0.048007285462034,0.5355447216191291,3,1
134,30,Female,267642,433236,60,Salaried,Car,3,839,1,4,365548,6,5,2,1693718,1322864,27,50,Paid,18,29086,4,397874,0.5455947406233704,0.90462370368692,3,0
135,47,Female,546273,262761,60,Self-employed,Home,5,674,8,1,523454,5,6,1,276672,925895,7,39,Late,28,65434,2,441269,0.1914210054537337,0.577965763871079,0,1
136,61,Female,1660698,399960,36,Self-employed,Education,4,663,5,5,984931,3,8,1,699731,410462,53,3,Paid,79,13691,3,371930,0.3614120687379166,0.1102666862392984,0,0
137,22,Female,710505,745643,60,Self-employed,Business,1,600,7,7,942733,5,5,0,726139,73600,82,39,Paid,87,48620,4,341970,0.0789075718626843,0.5618867600914776,16,0
138,56,Female,673969,281948,60,Self-employed,Education,0,539,8,2,988080,3,5,0,1814261,786624,53,8,Late,40,77677,1,133723,0.5634667891146845,0.9786880046844848,6,0
139,43,Female,1055875,411743,12,Salaried,Education,1,593,6,3,296144,7,7,0,1447910,1580183,17,15,Paid,10,35329,4,360092,0.662798612872151,0.363443459772886,17,0
140,41,Male,1875870,318581,36,Self-employed,Business,2,686,3,2,729420,5,5,1,1524556,1540467,0,29,Late,60,35604,4,433086,0.9037720665904568,0.2128723095415331,3,0
141,38,Female,1735778,788945,48,Salaried,Business,2,326,3,7,200425,1,5,0,1036126,1154244,45,56,Late,13,62517,3,378975,0.5031165006987218,0.8512541750666897,19,0
142,21,Male,453138,620048,24,Salaried,Business,0,584,1,3,83966,3,3,2,1811882,947080,13,13,Paid,66,32887,3,141087,0.1047648079920374,0.8984356308779702,11,0
143,56,Female,627641,898883,12,Self-employed,Home,0,493,4,2,692348,3,0,1,751513,751911,89,57,Paid,43,73071,3,303579,0.8646449996052802,0.440664612278562,14,0
144,36,Female,1659775,892127,48,Self-employed,Business,4,363,7,1,820385,6,9,2,203536,1522686,63,35,Late,66,91193,4,273541,0.4586588910912399,0.6668279829392516,1,0
145,24,Female,1273896,356112,36,Self-employed,Education,0,520,9,5,89716,8,7,2,184725,939379,21,19,Paid,51,46749,4,461427,0.0764702110210026,0.8621379958932124,13,0
146,36,Male,1785439,597837,60,Salaried,Business,1,568,6,7,869092,5,8,2,504286,1777846,85,36,Late,5,48277,2,160652,0.1556088631127101,0.7041110279138706,12,0
147,59,Female,1232559,165573,60,Salaried,Car,5,717,5,6,138991,4,7,2,1341887,200338,65,31,Paid,10,39652,1,105306,0.2134340898787592,0.6743702630719675,17,0
148,29,Male,680642,728601,12,Salaried,Home,2,399,4,2,714081,9,3,1,1307154,1435342,42,32,Paid,59,95606,4,189653,0.3709388285309825,0.7189695458002053,9,0
149,21,Male,262360,836794,60,Salaried,Car,0,485,7,5,632923,5,9,2,1350938,520608,29,11,Paid,22,26579,4,267612,0.2626734687773577,0.2241616295617581,19,0
150,43,Male,1300826,547157,36,Self-employed,Home,5,664,5,2,493543,8,1,0,731385,258706,67,2,Paid,53,18089,2,429538,0.8104373700361196,0.3957736738068342,19,0
151,61,Male,1533163,555946,12,Self-employed,Business,5,379,5,2,472880,6,8,1,732902,1557398,63,13,Paid,75,94420,2,66344,0.1770898605283712,0.8866273940710636,14,0
152,57,Female,263284,476413,48,Salaried,Car,4,493,7,5,11887,5,6,2,486968,1324264,17,5,Paid,2,12511,1,437749,0.5935070864280079,0.6539897246949608,17,0
153,24,Female,1675905,348176,12,Salaried,Car,4,553,4,3,475890,0,6,2,999982,135854,63,42,Paid,2,74560,4,302227,0.0914781308829564,0.2582667037682579,3,0
154,24,Female,1811032,428063,24,Salaried,Car,1,798,9,2,839641,6,8,1,755060,608151,7,53,Paid,3,52516,1,357066,0.8661532341077236,0.4603104540314566,10,0
155,61,Female,1825187,509492,48,Salaried,Business,2,305,8,5,674664,1,8,1,1434318,1150639,42,33,Late,48,40931,2,335430,0.9802368584611236,0.7039539605541003,4,0
156,35,Female,857229,61054,36,Self-employed,Education,5,380,3,4,169164,3,9,1,959998,900863,68,18,Paid,76,65000,2,107085,0.0338874354539077,0.1984087629056308,19,0
